cnt,pos,speed,Dir,Force,
174,3.44905,1.643,-1,5
175,3.45068,1.636,-1,5
176,3.45232,1.631,-1,5
177,3.45397,1.651,-1,5
178,3.45564,1.670,-1,5
179,3.45730,1.663,-1,5
180,3.45895,1.650,-1,5
181,3.46061,1.659,-1,5
182,3.46229,1.683,-1,5
183,3.46399,1.700,-1,5
184,3.46568,1.688,-1,5
185,3.46735,1.671,-1,5
186,3.46904,1.693,-1,5
187,3.47076,1.721,-1,5
188,3.47249,1.726,-1,5
189,3.47420,1.712,-1,5
190,3.47591,1.709,-1,5
191,3.47764,1.731,-1,5
192,3.47940,1.758,-1,5
193,3.48115,1.754,-1,5
194,3.48289,1.739,-1,5
195,3.48464,1.747,-1,5
196,3.48642,1.776,-1,5
197,3.48821,1.793,-1,5
198,3.48999,1.781,-1,5
199,3.49176,1.771,-1,5
200,3.49356,1.794,-1,5
201,3.49537,1.820,-1,5
202,3.49720,1.823,-1,5
203,3.49901,1.810,-1,5
204,3.50082,1.814,-1,5
205,3.50267,1.843,-1,5
206,3.50452,1.859,-1,5
207,3.50638,1.851,-1,5
208,3.50822,1.843,-1,5
209,3.51008,1.860,-1,5
210,3.51197,1.891,-1,5
211,3.51386,1.894,-1,5
212,3.51574,1.878,-1,5
213,3.51762,1.883,-1,5
214,3.51953,1.909,-1,5
215,3.52146,1.928,-1,5
216,3.52338,1.919,-1,5
217,3.52529,1.912,-1,5
218,3.52722,1.929,-1,5
219,3.52917,1.948,-1,5
220,3.53112,1.955,-1,5
221,3.53307,1.945,-1,5
222,3.53502,1.951,-1,5
223,3.53698,1.965,-1,5
224,3.53896,1.974,-1,5
225,3.54094,1.980,-1,5
226,3.54292,1.979,-1,5
227,3.54490,1.980,-1,5
228,3.54689,1.988,-1,5
229,3.54889,2.004,-1,5
230,3.55090,2.012,-1,5
231,3.55291,2.003,-1,5
232,3.55490,1.998,-1,5
233,3.55692,2.013,-1,5
234,3.55896,2.038,-1,5
235,3.56099,2.034,-1,5
236,3.56300,2.014,-1,5
237,3.56502,2.019,-1,5
238,3.56707,2.044,-1,5
239,3.56912,2.057,-1,5
240,3.57117,2.043,-1,5
241,3.57320,2.033,-1,5
242,3.57524,2.045,-1,5
243,3.57731,2.070,-1,5
244,3.57938,2.069,-1,5
245,3.58144,2.059,-1,5
246,3.58350,2.054,-1,5
247,3.58557,2.070,-1,5
248,3.58766,2.091,-1,5
249,3.58974,2.088,-1,5
250,3.59181,2.070,-1,5
251,3.59389,2.073,-1,5
252,3.59599,2.098,-1,5
253,3.59810,2.110,-1,5
254,3.60019,2.096,-1,5
255,3.60227,2.083,-1,5
256,3.60437,2.099,-1,5
257,3.60650,2.124,-1,5
258,3.60862,2.122,-1,5
259,3.61073,2.107,-1,5
260,3.61283,2.105,-1,5
261,3.61496,2.125,-1,5
262,3.61710,2.141,-1,5
263,3.61923,2.133,-1,5
264,3.62135,2.121,-1,5
265,3.62348,2.128,-1,5
266,3.62563,2.149,-1,5
267,3.62778,2.154,-1,5
268,3.62993,2.147,-1,5
269,3.63207,2.138,-1,5
270,3.63422,2.148,-1,5
271,3.63638,2.166,-1,5
272,3.63855,2.169,-1,5
273,3.64071,2.158,-1,5
274,3.64286,2.154,-1,5
275,3.64503,2.168,-1,5
276,3.64721,2.178,-1,5
